z,crossentropy0,crossentropy1
0,0,Inf
0.01,0.00100503358535015,0.460517018598809
0.02,0.00202027073175195,0.391202300542815
0.03,0.00304592074847086,0.350655789731998
0.04,0.00408219945202552,0.32188758248682
0.05,0.00512932943875506,0.299573227355399
0.06,0.00618754037180875,0.281341071676004
0.07,0.00725706928348355,0.265926003693278
0.08,0.0083381608939051,0.252572864430826
0.09,0.00943106794712413,0.240794560865187
0.1,0.0105360515657826,0.230258509299405
0.11,0.0116533816255952,0.220727491318972
0.12,0.0127833371509885,0.212026353620009
0.13,0.0139262067333508,0.204022082852655
0.14,0.0150822889734584,0.196611285637283
0.15,0.0162518929497775,0.189711998488588
0.16,0.0174353387144778,0.183258146374831
0.17,0.0186329578191493,0.177195684193188
0.18,0.0198450938723838,0.171479842809193
0.19,0.0210721031315653,0.166073120682165
0.2,0.022314355131421,0.16094379124341
0.21,0.023572233352107,0.156064774826467
0.22,0.02484613592985,0.151412773262978
0.23,0.0261364764134408,0.146967597005894
0.24,0.027443684570176,0.142711635564015
0.25,0.0287682072451781,0.138629436111989
0.26,0.0301105092783922,0.134707364796661
0.27,0.03147107448397,0.130933331998376
0.28,0.0328504066972036,0.127296567581289
0.29,0.0342490308946776,0.123787435600162
0.3,0.0356674943938732,0.120397280432594
0.31,0.0371063681390832,0.117118298150295
0.32,0.0385662480811985,0.113943428318836
0.33,0.0400477566597125,0.110866262452161
0.34,0.0415515443961666,0.107880966137193
0.35,0.0430782916092454,0.104982212449868
0.36,0.0446287102628419,0.102165124753198
0.37,0.0462035459596559,0.0994252273343867
0.38,0.0478035800943,0.0967584026261706
0.39,0.049429632181478,0.0941608539858445
0.4,0.0510825623765991,0.0916290731874155
0.41,0.0527632742082372,0.0891598119283784
0.42,0.0544727175441672,0.0867500567704723
0.43,0.0562118918153541,0.0843970070294529
0.44,0.0579818495252942,0.082098055206983
0.45,0.059783700075562,0.0798507696217772
0.46,0.0616186139423817,0.0776528789498996
0.47,0.0634878272435969,0.0755022584278033
0.48,0.0653926467406664,0.07339691750802
0.49,0.0673344553263766,0.0713349887877465
0.5,0.0693147180559945,0.0693147180559945
0.51,0.0713349887877465,0.0673344553263766
0.52,0.07339691750802,0.0653926467406664
0.53,0.0755022584278033,0.0634878272435969
0.54,0.0776528789498996,0.0616186139423817
0.55,0.0798507696217772,0.059783700075562
0.56,0.082098055206983,0.0579818495252942
0.57,0.0843970070294529,0.0562118918153541
0.58,0.0867500567704723,0.0544727175441672
0.59,0.0891598119283784,0.0527632742082372
0.6,0.0916290731874155,0.0510825623765991
0.61,0.0941608539858445,0.049429632181478
0.62,0.0967584026261706,0.0478035800943
0.63,0.0994252273343867,0.0462035459596559
0.64,0.102165124753198,0.0446287102628419
0.65,0.104982212449868,0.0430782916092454
0.66,0.107880966137193,0.0415515443961666
0.67,0.110866262452161,0.0400477566597125
0.68,0.113943428318836,0.0385662480811985
0.69,0.117118298150294,0.0371063681390832
0.7,0.120397280432594,0.0356674943938732
0.71,0.123787435600162,0.0342490308946776
0.72,0.127296567581289,0.0328504066972036
0.73,0.130933331998376,0.03147107448397
0.74,0.134707364796661,0.0301105092783922
0.75,0.138629436111989,0.0287682072451781
0.76,0.142711635564015,0.027443684570176
0.77,0.146967597005894,0.0261364764134408
0.78,0.151412773262978,0.02484613592985
0.79,0.156064774826467,0.023572233352107
0.8,0.16094379124341,0.022314355131421
0.81,0.166073120682165,0.0210721031315653
0.82,0.171479842809193,0.0198450938723838
0.83,0.177195684193188,0.0186329578191493
0.84,0.183258146374831,0.0174353387144778
0.85,0.189711998488588,0.0162518929497775
0.86,0.196611285637283,0.0150822889734584
0.87,0.204022082852655,0.0139262067333508
0.88,0.212026353620009,0.0127833371509885
0.89,0.220727491318972,0.0116533816255952
0.9,0.230258509299405,0.0105360515657826
0.91,0.240794560865187,0.00943106794712413
0.92,0.252572864430826,0.0083381608939051
0.93,0.265926003693278,0.00725706928348355
0.94,0.281341071676004,0.00618754037180875
0.95,0.299573227355399,0.00512932943875506
0.96,0.32188758248682,0.00408219945202552
0.97,0.350655789731998,0.00304592074847086
0.98,0.391202300542815,0.00202027073175195
0.99,0.460517018598809,0.00100503358535015
1,Inf,0
