z,logistic0,logistic1
-1,0.313261687518223,1.31326168751822
-0.99,0.315960947456721,1.30596094745672
-0.98,0.318679959237133,1.29867995923713
-0.97,0.321418813171847,1.29141881317185
-0.96,0.324177599195189,1.28417759919519
-0.95,0.326956406850952,1.27695640685095
-0.94,0.329755325279888,1.26975532527989
-0.93,0.332574443207154,1.26257444320715
-0.92,0.335413848929731,1.25541384892973
-0.91,0.338273630303798,1.2482736303038
-0.9,0.341153874732088,1.24115387473209
-0.89,0.344054669151211,1.23405466915121
-0.88,0.346976100018952,1.22697610001895
-0.87,0.349918253301557,1.21991825330156
-0.86,0.352881214460992,1.21288121446099
-0.85,0.355865068442196,1.2058650684422
-0.84,0.358869899660323,1.19886989966032
-0.83,0.361895791987978,1.19189579198798
-0.82,0.364942828742445,1.18494282874245
-0.81,0.368011092672927,1.17801109267293
-0.8,0.371100665947778,1.17110066594778
-0.79,0.374211630141752,1.16421163014175
-0.78,0.377344066223262,1.15734406622326
-0.77,0.380498054541652,1.15049805454165
-0.76,0.383673674814494,1.14367367481449
-0.75,0.3868710061149,1.1368710061149
-0.74,0.39009012685887,1.13009012685887
-0.73,0.393331114792667,1.12333111479267
-0.72,0.396594046980224,1.11659404698022
-0.71,0.399878999790598,1.1098789997906
-0.7,0.403186048885458,1.10318604888546
-0.69,0.406515269206625,1.09651526920662
-0.68,0.409866734963662,1.08986673496366
-0.67,0.413240519621521,1.08324051962152
-0.66,0.416636695888239,1.07663669588824
-0.65,0.420055335702715,1.07005533570272
-0.64,0.423496510222534,1.06349651022253
-0.63,0.426960289811877,1.05696028981188
-0.62,0.430446744029496,1.0504467440295
-0.61,0.433955941616779,1.04395594161678
-0.6,0.437487950485886,1.03748795048589
-0.59,0.441042837707981,1.03104283770798
-0.58,0.444620669501553,1.02462066950155
-0.57,0.448221511220833,1.01822151122083
-0.56,0.451845427344306,1.01184542734431
-0.55,0.455492481463338,1.00549248146334
-0.54,0.459162736270894,0.999162736270894
-0.53,0.462856253550384,0.992856253550384
-0.52,0.466573094164618,0.986573094164618
-0.51,0.470313318044875,0.980313318044875
-0.5,0.474076984180107,0.974076984180107
-0.49,0.477864150606262,0.967864150606262
-0.48,0.481674874395743,0.961674874395743
-0.47,0.485509211647004,0.955509211647004
-0.46,0.489367217474277,0.949367217474277
-0.45,0.493248945997455,0.943248945997455
-0.44,0.49715445033211,0.93715445033211
-0.43,0.501083782579671,0.931083782579671
-0.42,0.505036993817754,0.925036993817754
-0.41,0.509014134090644,0.919014134090644
-0.4,0.513015252399953,0.913015252399953
-0.39,0.517040396695427,0.907040396695427
-0.38,0.521089613865937,0.901089613865937
-0.37,0.525162949730635,0.895162949730635
-0.36,0.529260449030284,0.889260449030284
-0.35,0.533382155418777,0.883382155418777
-0.34,0.537528111454829,0.877528111454829
-0.33,0.541698358593861,0.871698358593861
-0.32,0.545892937180075,0.865892937180075
-0.31,0.550111886438715,0.860111886438715
-0.3,0.554355244468527,0.854355244468527
-0.29,0.558623048234425,0.848623048234425
-0.28,0.562915333560346,0.842915333560347
-0.27,0.567232135122319,0.837232135122319
-0.26,0.571573486441737,0.831573486441738
-0.25,0.575939419878844,0.825939419878844
-0.24,0.580329966626426,0.820329966626426
-0.23,0.584745156703731,0.814745156703731
-0.22,0.589185018950592,0.809185018950592
-0.21,0.593649581021784,0.803649581021784
-0.2,0.598138869381592,0.798138869381592
-0.19,0.602652909298613,0.792652909298613
-0.18,0.607191724840782,0.787191724840782
-0.17,0.611755338870623,0.781755338870623
-0.16,0.61634377304074,0.77634377304074
-0.15,0.620957047789532,0.770957047789532
-0.14,0.625595182337151,0.765595182337151
-0.13,0.630258194681691,0.760258194681691
-0.12,0.634946101595613,0.754946101595614
-0.11,0.639658918622423,0.749658918622423
-0.1,0.644396660073571,0.744396660073571
-0.09,0.64915933902561,0.73915933902561
-0.08,0.65394696731759,0.73394696731759
-0.07,0.658759555548697,0.728759555548697
-0.0599999999999999,0.663597113076141,0.723597113076141
-0.0499999999999999,0.668459648013286,0.718459648013286
-0.04,0.673347167228034,0.713347167228034
-0.03,0.678259676341448,0.708259676341448
-0.02,0.683197179726634,0.703197179726634
-0.01,0.688159680507862,0.698159680507862
0,0.693147180559945,0.693147180559945
0.01,0.698159680507862,0.688159680507862
0.02,0.703197179726634,0.683197179726634
0.03,0.708259676341448,0.678259676341448
0.04,0.713347167228034,0.673347167228034
0.0499999999999999,0.718459648013286,0.668459648013286
0.0599999999999999,0.723597113076141,0.663597113076141
0.07,0.728759555548697,0.658759555548697
0.08,0.73394696731759,0.65394696731759
0.09,0.73915933902561,0.64915933902561
0.1,0.744396660073571,0.644396660073571
0.11,0.749658918622423,0.639658918622423
0.12,0.754946101595614,0.634946101595613
0.13,0.760258194681691,0.630258194681691
0.14,0.765595182337151,0.625595182337151
0.15,0.770957047789532,0.620957047789532
0.16,0.77634377304074,0.61634377304074
0.17,0.781755338870623,0.611755338870623
0.18,0.787191724840782,0.607191724840782
0.19,0.792652909298613,0.602652909298613
0.2,0.798138869381592,0.598138869381592
0.21,0.803649581021784,0.593649581021784
0.22,0.809185018950592,0.589185018950592
0.23,0.814745156703731,0.584745156703731
0.24,0.820329966626426,0.580329966626426
0.25,0.825939419878844,0.575939419878844
0.26,0.831573486441738,0.571573486441737
0.27,0.837232135122319,0.567232135122319
0.28,0.842915333560347,0.562915333560346
0.29,0.848623048234425,0.558623048234425
0.3,0.854355244468527,0.554355244468527
0.31,0.860111886438715,0.550111886438715
0.32,0.865892937180075,0.545892937180075
0.33,0.871698358593861,0.541698358593861
0.34,0.877528111454829,0.537528111454829
0.35,0.883382155418777,0.533382155418777
0.36,0.889260449030284,0.529260449030284
0.37,0.895162949730635,0.525162949730635
0.38,0.901089613865937,0.521089613865937
0.39,0.907040396695427,0.517040396695427
0.4,0.913015252399953,0.513015252399953
0.41,0.919014134090644,0.509014134090644
0.42,0.925036993817754,0.505036993817754
0.43,0.931083782579671,0.501083782579671
0.44,0.93715445033211,0.49715445033211
0.45,0.943248945997455,0.493248945997455
0.46,0.949367217474277,0.489367217474277
0.47,0.955509211647004,0.485509211647004
0.48,0.961674874395743,0.481674874395743
0.49,0.967864150606262,0.477864150606262
0.5,0.974076984180107,0.474076984180107
0.51,0.980313318044875,0.470313318044875
0.52,0.986573094164618,0.466573094164618
0.53,0.992856253550384,0.462856253550384
0.54,0.999162736270894,0.459162736270894
0.55,1.00549248146334,0.455492481463338
0.56,1.01184542734431,0.451845427344306
0.57,1.01822151122083,0.448221511220833
0.58,1.02462066950155,0.444620669501553
0.59,1.03104283770798,0.441042837707981
0.6,1.03748795048589,0.437487950485886
0.61,1.04395594161678,0.433955941616779
0.62,1.0504467440295,0.430446744029496
0.63,1.05696028981188,0.426960289811877
0.64,1.06349651022253,0.423496510222534
0.65,1.07005533570272,0.420055335702715
0.66,1.07663669588824,0.416636695888239
0.67,1.08324051962152,0.413240519621521
0.68,1.08986673496366,0.409866734963662
0.69,1.09651526920662,0.406515269206625
0.7,1.10318604888546,0.403186048885458
0.71,1.1098789997906,0.399878999790598
0.72,1.11659404698022,0.396594046980224
0.73,1.12333111479267,0.393331114792667
0.74,1.13009012685887,0.39009012685887
0.75,1.1368710061149,0.3868710061149
0.76,1.14367367481449,0.383673674814494
0.77,1.15049805454165,0.380498054541652
0.78,1.15734406622326,0.377344066223262
0.79,1.16421163014175,0.374211630141752
0.8,1.17110066594778,0.371100665947778
0.81,1.17801109267293,0.368011092672927
0.82,1.18494282874245,0.364942828742445
0.83,1.19189579198798,0.361895791987978
0.84,1.19886989966032,0.358869899660323
0.85,1.2058650684422,0.355865068442196
0.86,1.21288121446099,0.352881214460992
0.87,1.21991825330156,0.349918253301557
0.88,1.22697610001895,0.346976100018952
0.89,1.23405466915121,0.344054669151211
0.9,1.24115387473209,0.341153874732088
0.91,1.2482736303038,0.338273630303798
0.92,1.25541384892973,0.335413848929731
0.93,1.26257444320715,0.332574443207154
0.94,1.26975532527989,0.329755325279888
0.95,1.27695640685095,0.326956406850952
0.96,1.28417759919519,0.324177599195189
0.97,1.29141881317185,0.321418813171847
0.98,1.29867995923713,0.318679959237133
