z,sigmoid,tanh
-5,0.00669285092428486,-0.999909204262595
-4.99,0.00675966051071325,-0.999907370151982
-4.98,0.00682713242213816,-0.999905498993342
-4.97,0.00689527313264614,-0.9999035900384
-4.96,0.00696408917776209,-0.999901642523764
-4.95,0.00703358715499516,-0.999899655670632
-4.94,0.00710377372438878,-0.999897628684473
-4.93,0.00717465560907474,-0.999895560754711
-4.92,0.00724623959583143,-0.999893451054404
-4.91,0.00731853253564622,-0.999891298739911
-4.9,0.00739154134428197,-0.999889102950554
-4.89,0.00746527300284769,-0.999886862808279
-4.88,0.00753973455837339,-0.9998845774173
-4.87,0.00761493312438916,-0.999882245863744
-4.86,0.00769087588150833,-0.999879867215283
-4.85,0.007767570078015,-0.999877440520767
-4.84,0.00784502303045563,-0.999874964809839
-4.83,0.00792324212423498,-0.999872439092548
-4.82,0.00800223481421624,-0.999869862358959
-4.81,0.0080820086253254,-0.99986723357874
-4.8,0.0081625711531599,-0.99986455170076
-4.79,0.00824393006460156,-0.999861815652664
-4.78,0.00832609309843378,-0.999859024340445
-4.77,0.00840906806596298,-0.999856176648007
-4.76,0.00849286285164435,-0.999853271436724
-4.75,0.00857748541371198,-0.999850307544979
-4.74,0.00866294378481316,-0.999847283787701
-4.73,0.00874924607264706,-0.999844198955898
-4.72,0.00883640046060772,-0.999841051816165
-4.71,0.00892441520843132,-0.999837841110201
-4.7,0.00901329865284782,-0.999834565554297
-4.69,0.00910305920823688,-0.999831223838832
-4.68,0.00919370536728809,-0.999827814627745
-4.67,0.00928524570166557,-0.999824336558004
-4.66,0.00937768886267686,-0.999820788239061
-4.65,0.00947104358194611,-0.999817168252296
-4.64,0.00956531867209168,-0.999813475150452
-4.63,0.0096605230274079,-0.999809707457059
-4.62,0.00975666562455136,-0.999805863665841
-4.61,0.00985375552323126,-0.999801942240116
-4.6,0.00995180186690432,-0.999797941612184
-4.59,0.0100508138834738,-0.999793860182703
-4.58,0.0101508008859927,-0.999789696320044
-4.57,0.010251772273372,-0.999785448359649
-4.56,0.0103537375310918,-0.999781114603359
-4.55,0.0104567062319181,-0.999776693318741
-4.54,0.0105606880366231,-0.999772182738395
-4.53,0.01066569269471,-0.99976758105925
-4.52,0.0107717300451416,-0.999762886441844
-4.51,0.0108788100170739,-0.99975809700959
-4.5,0.0109869426305932,-0.999753210848027
-4.49,0.0110961379974576,-0.99974822600406
-4.48,0.0112064063218429,-0.999743140485174
-4.47,0.0113177579010923,-0.999737952258646
